"Plot Title: bas_ml_20251108"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20059998, SEN S/N: 20054028, LBL: t_air)","RH, % (LGR S/N: 20059998, SEN S/N: 20054028, LBL: hr_air)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22155504, LBL: t_1)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22194991, LBL: t_2)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22194995, LBL: t_3)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22285562, LBL: t_0)"
100,11/09/25 10:30:01  AM,-3.124,76.500,3.380,5.949,6.382,-0.004
101,11/09/25 10:45:01  AM,-3.124,75.800,3.380,5.949,6.382,-0.004
102,11/09/25 11:00:01  AM,-2.888,76.100,3.380,5.949,6.382,0.024
103,11/09/25 11:15:01  AM,-2.800,75.500,3.380,5.924,6.382,-0.004
104,11/09/25 11:30:01  AM,-2.218,74.100,3.380,5.924,6.382,0.107
105,11/09/25 11:45:01  AM,-2.742,72.000,3.380,5.924,6.357,0.079
106,11/09/25 12:00:01  PM,-2.450,72.300,3.380,5.924,6.357,0.051
107,11/09/25 12:15:01  PM,-2.479,71.500,3.354,5.898,6.357,0.051
108,11/09/25 12:30:01  PM,-2.654,72.200,3.354,5.898,6.357,-0.004
109,11/09/25 12:45:01  PM,-2.888,72.200,3.354,5.898,6.357,-0.060
110,11/09/25 01:00:01  PM,-2.888,72.900,3.354,5.872,6.357,-0.116
111,11/09/25 01:15:01  PM,-3.124,74.700,3.327,5.872,6.357,-0.171
112,11/09/25 01:30:01  PM,-3.124,74.900,3.327,5.872,6.331,-0.171
113,11/09/25 01:45:01  PM,-2.712,74.600,3.327,5.847,6.331,-0.116
114,11/09/25 02:00:01  PM,-2.888,73.400,3.327,5.847,6.331,-0.143
115,11/09/25 02:15:01  PM,-3.094,75.000,3.327,5.847,6.331,-0.171
116,11/09/25 02:30:01  PM,-3.301,75.600,3.301,5.847,6.331,-0.199
117,11/09/25 02:45:01  PM,-3.598,77.000,3.301,5.821,6.331,-0.227
118,11/09/25 03:00:01  PM,-3.956,78.600,3.301,5.821,6.331,-0.283
119,11/09/25 03:15:01  PM,-4.106,78.800,3.301,5.821,6.306,-0.283
120,11/09/25 03:30:01  PM,-4.167,78.300,3.274,5.796,6.306,-0.283
121,11/09/25 03:45:01  PM,-4.378,79.500,3.274,5.796,6.306,-0.311
122,11/09/25 04:00:01  PM,-4.926,80.300,3.274,5.796,6.306,-0.395
123,11/09/25 04:15:01  PM,-5.357,81.200,3.274,5.796,6.306,-0.423
124,11/09/25 04:30:01  PM,-5.854,82.400,3.274,5.796,6.306,-0.479
