"Plot Title: 22382990"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 22382990, SEN S/N: 20584702, LBL: tamb)","RH, % (LGR S/N: 22382990, SEN S/N: 20584702, LBL: hramb)","Temp, °C (LGR S/N: 22382990, SEN S/N: 22194992, LBL: tprof2)","Temp, °C (LGR S/N: 22382990, SEN S/N: 22194994, LBL: tprof1)","Temp, °C (LGR S/N: 22382990, SEN S/N: 22285558, LBL: tprof4)","Temp, °C (LGR S/N: 22382990, SEN S/N: 22285561, LBL: tprof3)"
169,11/10/25 09:00:01  AM,-5.636,90.900,4.610,4.844,3.009,4.141
170,11/10/25 09:15:01  AM,-5.511,91.600,4.636,4.844,3.036,4.168
171,11/10/25 09:30:01  AM,-5.357,92.300,4.636,4.844,3.063,4.194
172,11/10/25 09:45:01  AM,-5.141,92.600,4.636,4.844,3.063,4.168
173,11/10/25 10:00:01  AM,-5.110,92.600,4.610,4.844,3.036,4.141
174,11/10/25 10:15:01  AM,-5.018,92.400,4.636,4.844,3.063,4.168
175,11/10/25 10:30:01  AM,-5.049,92.300,4.610,4.818,3.036,4.168
176,11/10/25 10:45:01  AM,-5.110,92.400,4.610,4.844,3.036,4.115
177,11/10/25 11:00:01  AM,-5.110,92.400,4.584,4.818,3.009,4.115
178,11/10/25 11:15:01  AM,-5.079,92.300,4.610,4.844,3.009,4.115
179,11/10/25 11:30:01  AM,-4.987,92.300,4.610,4.818,3.009,4.141
180,11/10/25 11:45:01  AM,-5.018,92.500,4.610,4.818,3.063,4.168
181,11/10/25 12:00:01  PM,-4.957,92.600,4.610,4.818,3.089,4.168
182,11/10/25 12:15:01  PM,-4.926,92.600,4.610,4.818,3.116,4.194
183,11/10/25 12:30:01  PM,-4.804,92.800,4.610,4.818,3.089,4.168
184,11/10/25 12:45:01  PM,-4.682,92.900,4.610,4.818,3.116,4.168
185,11/10/25 01:00:01  PM,-4.590,93.000,4.610,4.818,3.116,4.194
186,11/10/25 01:15:01  PM,-4.348,93.200,4.610,4.818,3.142,4.194
187,11/10/25 01:30:01  PM,-4.167,93.300,4.610,4.818,3.142,4.168
188,11/10/25 01:45:01  PM,-3.836,93.500,4.610,4.818,3.142,4.168
189,11/10/25 02:00:01  PM,-3.598,93.700,4.584,4.818,3.089,4.115
